p,p_index,dataset_index,initialization,A,B,C,alpha,beta,g12,g13,g23,D,empirical_loss,empirical_optimum,optimization_error,gradient_norm,is_best
0.0,0,10,2,0.0,0.9785292414933464,1.001125068902119,1.5707963267900533,1.5707963267490301,1.0,2.3457537017884855e-23,2.103734263163021e-21,1.0,2.1290549950662406e-21,0.0,2.1290549950662406e-21,9.183617191550315e-11,0
0.0,0,10,3,0.0,0.9785292414933464,1.001125068902119,1.5707963268005143,1.570796326840188,1.0,3.1558185581858576e-23,2.0513187998564376e-21,1.0,2.0845072822468106e-21,0.0,2.0845072822468106e-21,9.068488620172426e-11,1
0.0,0,10,4,0.0,0.9785292414933464,1.001125068902119,1.5707963267929648,1.570796326746773,1.0,3.732041699317329e-24,2.315877644319614e-21,1.0,2.322135078171605e-21,0.0,2.322135078171605e-21,9.635541748233509e-11,0
0.0,0,10,5,0.0,0.9785292414933464,1.001125068902119,1.5707963268423137,1.5707963267818346,1.0,2.248383274802532e-21,1.7061733729446935e-22,1.0,2.3709180740336696e-21,0.0,2.3709180740336696e-21,9.279807705259455e-11,0
0.0,0,10,6,0.0,0.9785292414933464,1.001125068902119,1.5707963267901073,1.5707963267479181,1.0,2.2937790240837686e-23,2.2069778072483683e-21,1.0,2.2319061078328703e-21,0.0,2.2319061078328703e-21,9.406267283027879e-11,0
0.0,0,10,7,0.0,0.9785292414933464,1.001125068902119,1.570796326747715,1.5707963268373795,1.0,2.2261083985949616e-21,1.8047921065106465e-21,1.0,3.985134784743567e-21,0.0,3.985134784743567e-21,9.233725463452742e-11,0
0.0,0,11,0,0.0,1.0004618745293454,0.9958935368838026,1.570796326794604,1.5707963267495055,1.0,8.568266931956708e-26,2.060350643315833e-21,1.0,2.051975611636585e-21,0.0,2.051975611636585e-21,9.040937737299896e-11,1
0.0,0,11,1,0.0,1.0004618745293454,0.9958935368838026,1.5707963267936662,1.5707963267475022,1.0,1.5139097234632061e-24,2.2462264906925634e-21,1.0,2.238517053417713e-21,0.0,2.238517053417713e-21,9.439949738063014e-11,0
0.0,0,11,2,0.0,1.0004618745293454,0.9958935368838026,1.5707963267751854,1.5707963267491178,1.0,3.8853072958818396e-22,2.095696275762069e-21,1.0,2.4758005583389487e-21,0.0,2.4758005583389487e-21,9.118157306501005e-11,0
0.0,0,11,3,0.0,1.0004618745293454,0.9958935368838026,1.5707963267957241,1.5707963268433984,1.0,6.847546119078544e-25,2.352425374927894e-21,1.0,2.3434502977747675e-21,0.0,2.3434502977747675e-21,9.660527413962456e-11,0
0.0,0,11,4,0.0,1.0004618745293454,0.9958935368838026,1.5707963268405474,1.5707963268329839,1.0,2.0839914528878652e-21,1.4506386011706537e-21,1.0,3.5296356027193416e-21,0.0,3.5296356027193416e-21,9.134368029819441e-11,0
0.0,0,11,5,0.0,1.0004618745293454,0.9958935368838026,1.5707963268428051,1.5707963267750409,1.0,2.295224829382363e-21,3.9425016846720023e-22,1.0,2.688916129962011e-21,0.0,2.688916129962011e-21,9.586126497796483e-11,0
0.0,0,11,6,0.0,1.0004618745293454,0.9958935368838026,1.5707963267482064,1.570796326794826,1.0,2.1799811715138347e-21,4.994449139249679e-27,1.0,2.1809930232310274e-21,0.0,2.1809930232310274e-21,9.342366706825812e-11,0
0.0,0,11,7,0.0,1.0004618745293454,0.9958935368838026,1.5707963267987102,1.5707963267482112,1.0,1.4543200649235662e-23,2.1795250331991824e-21,1.0,2.1851248118227117e-21,0.0,2.1851248118227117e-21,9.298734340320092e-11,0
