p,dataset_index,best_initialization,g12,g13,g23,D,deployed_gap,empirical_loss,gradient_norm,v1_1,v1_2,v1_3,v2_1,v2_2,v2_3,v3_1,v3_2,v3_3
0.2,38,3,4.80434771576924e-20,3.0814879110195774e-33,8.480844838459801e-35,4.8043477157692316e-20,0.5,1.0807928264556751e-20,9.66207681850874e-11,-0.5597943926320883,-0.805798259651172,-0.19318230436769776,-0.066002343045481,-0.18903320594597575,0.9797500384089266,0.8259987461697391,-0.5612090624055834,-0.05263515555087572
0.2,39,6,6.510697478603293e-20,7.703719777548943e-34,4.152037803394111e-34,6.510697478603252e-20,0.5,1.2715486361992888e-20,9.754583526459706e-11,0.18842238852345683,-0.9787223769175094,-0.0812373831684416,-0.43740007677957815,-0.00956962340626631,-0.899216100356906,-0.8793055079403721,-0.20496568306324503,0.4298963741090885
0.2,40,4,5.373808380265291e-20,3.0814879110195774e-33,1.0364016004567684e-34,5.3738083802652806e-20,0.5,1.1729478924938804e-20,9.813865894529281e-11,-0.29467558789771764,-0.9472183611111075,0.126268263119132,0.23762539848400807,0.05535138288216463,0.9697785285354324,-0.9255811514178466,0.3157746043663294,0.2087724392186424
0.2,41,0,6.630746883127034e-20,4.81482486096809e-35,4.824592511215605e-33,6.630746883126552e-20,0.5,1.2847233715964189e-20,9.917218123870386e-11,-0.019450934776068376,0.9938743392674474,-0.10879089521661332,-0.357537151514232,-0.1085305525646871,-0.927571185649432,-0.9336963352327179,0.02085466015420371,0.35745802092391893
0.2,42,5,6.259544266535198e-20,0.0,2.3449175600358513e-34,6.259544266535175e-20,0.5,1.2613744893340712e-20,9.715577425642141e-11,0.2624996272755676,0.051970049601227385,0.9635315561125303,-0.9083995456898046,0.35007623979178565,0.22859766342594326,-0.32542927217763157,-0.9352784292757889,0.13910445191060752
0.2,43,2,5.991348547035879e-20,0.0,4.457587947759832e-34,5.991348547035835e-20,0.5,1.2211681025972002e-20,9.710506192499671e-11,-0.22098364612594948,0.9731924135800882,-0.06373973874314022,-0.4805337493526362,-0.051777401999781904,0.8754464097677545,0.8486775264056391,0.22408843525934902,0.4790937584200219
0.2,44,7,6.116505291083677e-20,0.0,2.938282217083345e-34,6.116505291083648e-20,0.5,1.2706637234758158e-20,9.952176460319681e-11,-0.24675069118297002,-0.032876537861136215,-0.9685211560203484,0.943891489344587,-0.23453326485700093,-0.23251452431702704,-0.21950615624255626,-0.9715519960030935,0.08890312949510511
0.2,45,7,6.980792934688959e-20,1.0833355937178202e-34,2.9766865894632755e-32,6.980792934685982e-20,0.5,1.3549734246409765e-20,9.642927530543614e-11,0.4184056287563646,-0.06797417005349315,0.9057131124315967,-0.2769511498234144,0.9401572683465623,0.1985003057595093,0.8650056592287201,0.33389193313771204,-0.3745415684378024
0.2,46,3,7.303525910925868e-20,1.560003254953661e-32,1.9628377840504538e-33,7.303525910925672e-20,0.5,1.3771809227019947e-20,9.768435561020354e-11,0.9466230968830823,0.129342883517626,-0.2952543495544622,-0.19569202728996543,0.9584524352376431,-0.2075417062717157,-0.25614320760562864,-0.2542426949538233,-0.9326045835508837
0.2,47,0,7.097917121683461e-20,3.0814879110195774e-33,4.3333977663253225e-34,7.097917121683418e-20,0.5,1.3130871673270893e-20,9.806752270747087e-11,-0.4514432655043994,-0.8887341948654113,0.07969008035918619,-0.09172997976462414,-0.04261176180087205,-0.9948717749381613,-0.8875723006161474,0.4564381322950309,0.06228677681485239
0.2,48,5,8.20396910599804e-20,4.81482486096809e-35,4.8260930250172055e-33,8.203969105997557e-20,0.5,1.401759077434872e-20,9.729687785022561e-11,0.9940484072502631,0.08069116151235083,0.0731894835137063,0.10827580974478912,-0.8058401495741992,-0.5821494673692852,-0.012004707646119476,-0.5866094014122762,0.8097810180345438
0.2,49,0,7.256505592647034e-20,3.0814879110195774e-33,1.4556929510410492e-33,7.256505592646888e-20,0.5,1.3314279523002694e-20,9.665249082144956e-11,0.046053090437660885,0.20464133149813632,-0.9777530558908065,-0.9532103322384261,0.3017559389649516,0.018259677250432295,-0.29877947612143574,-0.9311634006850353,-0.20896302513430653
0.5,0,2,1.090902644073544e-20,4.81482486096809e-35,4.3010972515422026e-24,1.0904725343483898e-20,0.5,5.179918936204153e-21,9.722385899782572e-11,-0.16731912600316404,0.9797983790729162,-0.10954198482601787,-0.7047394630047017,-0.19656130032113409,-0.681693438797756,0.689453841337305,0.036861790819382546,-0.7233910484950878
