p,p_index,dataset_index,A,B,C,empirical_optimum,empirical_g12,empirical_g13,empirical_g23,theory_optimum,theory_g12,theory_g13,theory_g23,theory_D,best_initialization,alpha,beta,g12,g13,g23,D,deployed_gap,optimization_error,gram_error_to_empirical,gram_error_to_population,gradient_norm
0.0,0,10,0.0,0.9785292414933464,1.001125068902119,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,1.5707963268005143,1.570796326840188,1.0,3.1558185581858576e-23,2.0513187998564376e-21,1.0,-0.5,2.0845072822468106e-21,2.0513187998564376e-21,2.0513187998564376e-21,9.068488620172426e-11
0.0,0,11,0.0,1.0004618745293454,0.9958935368838026,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.570796326794604,1.5707963267495055,1.0,8.568266931956708e-26,2.060350643315833e-21,1.0,-0.5,2.051975611636585e-21,2.060350643315833e-21,2.060350643315833e-21,9.040937737299896e-11
0.0,0,12,0.0,0.9764180012390975,1.0240543768685977,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.570796326797577,1.570796326839263,1.0,7.184872450109293e-24,1.968381817555513e-21,1.0,-0.5,2.022745454413182e-21,1.968381817555513e-21,1.968381817555513e-21,9.086731304660147e-11
0.0,0,13,0.0,0.9916610387227056,1.0066046826870723,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,1.570796326781202,1.5707963267490292,1.0,1.8754377389757076e-22,2.103815739192665e-21,1.0,-0.5,2.3036906282113424e-21,2.103815739192665e-21,2.103815739192665e-21,9.234062122968872e-11
0.0,0,14,0.0,1.006329475436424,1.0210962131123065,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,1.5707963267966834,1.5707963268394847,1.0,3.192410180262601e-24,1.9880941804051022e-21,1.0,-0.5,2.033248055384346e-21,1.9880941804051022e-21,1.9880941804051022e-21,9.105737749720895e-11
0.0,0,15,0.0,0.9829489314608848,0.9984773707900668,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5,1.5707963268413458,1.5707963267985205,1.0,2.1575307471748117e-21,1.3132859691195912e-23,1.0,-0.5,2.1338554057449057e-21,2.1575307471748117e-21,2.1575307471748117e-21,9.131443732691995e-11
0.0,0,16,0.0,0.9757426411609047,1.0261017612584635,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,1.5707963268421392,1.5707963267951013,1.0,2.231862593431636e-21,4.1887309262023753e-26,1.0,-0.5,2.177766482265019e-21,2.231862593431636e-21,2.231862593431636e-21,9.219322493962353e-11
0.0,0,17,0.0,1.016142630712256,1.0170566041918403,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,1.5707963267962972,1.5707963267488505,1.0,1.961669534853559e-24,2.12024489901612e-21,1.0,-0.5,2.1584024130901405e-21,2.12024489901612e-21,2.12024489901612e-21,9.3663014966449e-11
0.0,0,18,0.0,1.0627286143469017,0.9696958316718847,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.5707963267950358,1.5707963267482135,1.0,1.9365710151277875e-26,2.179317713378831e-21,1.0,-0.5,2.1132958830464705e-21,2.179317713378831e-21,2.179317713378831e-21,9.053693725899869e-11
0.0,0,19,0.0,1.037277316897555,0.9726036185968282,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.5707963267852387,1.5707963268416003,1.0,9.327486481758338e-23,2.1812347291641064e-21,1.0,-0.5,2.2182286921060477e-21,2.1812347291641064e-21,2.1812347291641064e-21,9.084835723998515e-11
0.0,0,20,0.0,0.9992093893535197,1.0215444261989215,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,1.570796326841355,1.5707963267925837,1.0,2.1583765616871122e-21,5.3494038899917406e-24,1.0,-0.5,2.1621347799256365e-21,2.1583765616871122e-21,2.1583765616871122e-21,9.284320200931483e-11
0.0,0,21,0.0,0.9389672937767095,1.0253702609354227,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,1.5707963268127836,1.570796326750964,1.0,3.1994347977791766e-22,1.930081825256576e-21,1.0,-0.5,2.2794649681586267e-21,1.930081825256576e-21,1.930081825256576e-21,9.009456102918608e-11
